"Nama stasiun
","Provinsi
","Daerah operasi/divisi regional
","Singkatan
","Status
","Ketinggian dalam (mdpl)
"
"Adan-Adan
","Jawa Timur
","Daop VII Madiun
","ADN
","Tidak beroperasi
","-
"
"Adisoemarmo
","Jawa Tengah
","Daop VI Yogyakarta
","SMO
","Beroperasi
","+131 m
"
"Aekloba
","Sumatra Utara
","Divre I Sumut dan Aceh
","AKB
","Beroperasi
","+37,00 m
"
"Aek Nabara
","Sumatra Utara
","Divre I Sumut dan Aceh
","-
","Konstruksi
","-
"
"Air Asam
","Sumatra Selatan
","Divre IV Tanjungkarang
","ASM
","Beroperasi
","+41 m
"
"Air Tawar
","Sumatra Barat
","Divre II Sumatra Barat
","ATR
","Beroperasi
","+? m
"
"Airtuba
","Sumatra Selatan
","Divre III Palembang
","ART
","Tidak beroperasi
","+43 m
"
"Ajung
","Jawa Timur
","Daop IX Jember
","AJU
","Tidak beroperasi
","-
"
"Alai
","Sumatra Barat
","Divre II Sumatra Barat
","AI
","Beroperasi
","+? m
"
"Alastua
d.h. Allas-Toewa, Alastuwa
","Jawa Tengah
","Daop IV Semarang
","ATA
","Beroperasi
","+6 m
"
"Alkmaar
","Jawa Timur
","Daop VIII Surabaya
","-
","Tidak beroperasi
","-
"
"Ambarawa
d.h. Willem I
","Jawa Tengah
","Daop IV Semarang
","ABR
","Museum
","+474,40 m
"
"Ambulu
","Jawa Timur
","Daop IX Jember
","ABL
","Tidak beroperasi
","-
"
"Ancol
","DKI Jakarta
","Daop I Jakarta
","AC
","Beroperasi
","+4 m
"
"Andir
","Jawa Barat
","Daop II Bandung
","AND
","Beroperasi
","+730 m
"
"Angke
","DKI Jakarta
","Daop I Jakarta
","AK
","Beroperasi
","+3 m
"
"Anyer Kidul
","Banten
","Daop I Jakarta
","ANK
","Tidak beroperasi
","-
"
"Anyer Lor
","Banten
","Daop I Jakarta
","ANL
","Tidak beroperasi
","-
"
"Araskabu
","Sumatra Utara
","Divre I Sumut dan Aceh
","ARB
","Beroperasi
","+7,23 m
"
"Argopuro
","Jawa Timur
","Daop IX Jember
","AGO
","Beroperasi
","+56 m
"
"Arjawinangun
","Jawa Barat
","Daop III Cirebon
","AWN
","Beroperasi
","+8 m
"
"Arjasa
","Jawa Timur
","Daop IX Jember
","AJ
","Beroperasi
","+141 m
"
"Awipari
","Jawa Barat
","Daop II Bandung
","AW
","Beroperasi
","+327 m
"
"Babadan
","Jawa Timur
","Daop VII Madiun
","BBD
","Beroperasi
","+63 m
"
"Babakan
d.h. Nieuw Tersana
","Jawa Barat
","Daop III Cirebon
","BBK
","Beroperasi
","+12 m
"
"Babat
","Jawa Timur
","Daop VIII Surabaya
","BBT
","Beroperasi
","+7 m
"
"Badas
","Jawa Timur
","Daop VII Madiun
","BDS
","Tidak beroperasi
","-
"
"Badegan
","Jawa Timur
","Daop VII Madiun
","BAN
","Tidak beroperasi
","-
"
"Bagor
","Jawa Timur
","Daop VII Madiun
","BGR
","Beroperasi
","+58 m
"
"Bahlias
","Sumatra Utara
","Divre I Sumut dan Aceh
","BLI
","Beroperasi
","+32,70 m
"
"Bajalinggei
","Sumatra Utara
","Divre I Sumut dan Aceh
","BJL
","Beroperasi
","+284,20 m
"
"Balapulang
","Jawa Tengah
","Daop V Purwokerto
","BLP
","Tidak beroperasi
","+90 m
"
"Balega
","Jawa Timur
","Daop VIII Surabaya
","BGA
","Tidak beroperasi
","-
"
"Balong
","Jawa Timur
","Daop VII Madiun
","BLO
","Tidak beroperasi
","+103 m
"
"Balongbendo
","Jawa Timur
","Daop VIII Surabaya
","BLB
","Tidak beroperasi
","-
"
"Balung
","Jawa Timur
","Daop IX Jember
","BUG
","Tidak beroperasi
","+23 m
"
"Bamban
","Sumatra Utara
","Divre I Sumut dan Aceh
","BMB
","Beroperasi
","+7,46 m
"
"Banda Aceh
d.h. Koeta-Radja
","Aceh
","Divre I Sumut dan Aceh
","BNA
","Tidak beroperasi
","-
"
"Bandar Khalipah
","Sumatra Utara
","Divre I Sumut dan Aceh
","BAP
","Beroperasi
","+16,13 m
"
"Bandar Tinggi
","Sumatra Utara
","Divre I Sumut dan Aceh
","BDT
","Beroperasi
","+14,50 m
"
"Bangkalan
","Jawa Timur
","Daop VIII Surabaya
","BKL
","Tidak beroperasi
","-
"
"Bangun Purba
","Sumatra Utara
","Divre I Sumut dan Aceh
","-
","Tidak beroperasi
","-
"
"Banjar
","Jawa Barat
","Daop II Bandung
","BJR
","Beroperasi
","+32 m
"
"Banjaranyar
","Jawa Timur
","Daop VII Madiun
","BNR
","Tidak beroperasi
","-
"
"Banjaran (ke Srg)
","Jawa Barat
","Daop II Bandung
","BJA
","Tidak beroperasi
","-
"
"Banjaran (ke Ppk)
","Jawa Tengah
","Daop V Purwokerto
","BJN
","Tidak beroperasi
","+19 m
"
"Banjarkemantren
","Jawa Timur
","Daop VIII Surabaya
","BJK
","Tidak beroperasi
","-
"
"Banjarnegara
","Jawa Tengah
","Daop V Purwokerto
","BA
","Tidak beroperasi
","+291 m
"
"Banjarsari (ke Llg)
","Sumatra Selatan
","Divre III Palembang
","BJS
","Beroperasi
","+47 m
"
"Banjarsari (ke Cij)
","Jawa Barat
","Daop II Bandung
","BJI
","Tidak beroperasi
","-
"
"Banjarsari (ke Ws)
","Jawa Tengah
","Daop V Purwokerto
","BJRS
","Tidak beroperasi
","-
"
"Bandung
","Jawa Barat
","Daop II Bandung
","BD
","Beroperasi
","+709 m
"
